Borehole,Model,Date,Sim,Obs
Heathlanes,AquiMod,01/01/1962,61.8777,
Heathlanes,AquiMod,02/01/1962,61.874,
Heathlanes,AquiMod,03/01/1962,61.8702,
Heathlanes,AquiMod,04/01/1962,61.8665,
Heathlanes,AquiMod,05/01/1962,61.8642,
Heathlanes,AquiMod,06/01/1962,61.862,
Heathlanes,AquiMod,07/01/1962,61.8598,
Heathlanes,AquiMod,08/01/1962,61.8581,
Heathlanes,AquiMod,09/01/1962,61.8566,
Heathlanes,AquiMod,10/01/1962,61.8553,
Heathlanes,AquiMod,11/01/1962,61.8545,
Heathlanes,AquiMod,12/01/1962,61.8536,
Heathlanes,AquiMod,13/01/1962,61.8527,
Heathlanes,AquiMod,14/01/1962,61.8518,
Heathlanes,AquiMod,15/01/1962,61.8515,
Heathlanes,AquiMod,16/01/1962,61.8524,
Heathlanes,AquiMod,17/01/1962,61.8533,
Heathlanes,AquiMod,18/01/1962,61.8544,
Heathlanes,AquiMod,19/01/1962,61.8555,
Heathlanes,AquiMod,20/01/1962,61.8574,
Heathlanes,AquiMod,21/01/1962,61.8602,
Heathlanes,AquiMod,22/01/1962,61.8629,
Heathlanes,AquiMod,23/01/1962,61.866,
Heathlanes,AquiMod,24/01/1962,61.8693,
Heathlanes,AquiMod,25/01/1962,61.8725,
Heathlanes,AquiMod,26/01/1962,61.8755,
Heathlanes,AquiMod,27/01/1962,61.8785,
Heathlanes,AquiMod,28/01/1962,61.8814,
Heathlanes,AquiMod,29/01/1962,61.8843,
Heathlanes,AquiMod,30/01/1962,61.8872,
Heathlanes,AquiMod,31/01/1962,61.8902,
Heathlanes,AquiMod,01/02/1962,61.8932,
Heathlanes,AquiMod,02/02/1962,61.8961,
Heathlanes,AquiMod,03/02/1962,61.8989,
Heathlanes,AquiMod,04/02/1962,61.9021,
Heathlanes,AquiMod,05/02/1962,61.9051,
Heathlanes,AquiMod,06/02/1962,61.9083,
Heathlanes,AquiMod,07/02/1962,61.9118,
Heathlanes,AquiMod,08/02/1962,61.9152,
Heathlanes,AquiMod,09/02/1962,61.9185,
Heathlanes,AquiMod,10/02/1962,61.9218,
Heathlanes,AquiMod,11/02/1962,61.9249,
Heathlanes,AquiMod,12/02/1962,61.929,
Heathlanes,AquiMod,13/02/1962,61.9329,
Heathlanes,AquiMod,14/02/1962,61.9367,
Heathlanes,AquiMod,15/02/1962,61.9405,
Heathlanes,AquiMod,16/02/1962,61.9441,
Heathlanes,AquiMod,17/02/1962,61.9477,
Heathlanes,AquiMod,18/02/1962,61.9512,
Heathlanes,AquiMod,19/02/1962,61.9545,
Heathlanes,AquiMod,20/02/1962,61.9578,
Heathlanes,AquiMod,21/02/1962,61.961,
Heathlanes,AquiMod,22/02/1962,61.9642,
Heathlanes,AquiMod,23/02/1962,61.9672,
Heathlanes,AquiMod,24/02/1962,61.9702,
Heathlanes,AquiMod,25/02/1962,61.973,
Heathlanes,AquiMod,26/02/1962,61.9758,
Heathlanes,AquiMod,27/02/1962,61.9785,
Heathlanes,AquiMod,28/02/1962,61.9811,
Heathlanes,AquiMod,01/03/1962,61.9837,
Heathlanes,AquiMod,02/03/1962,61.9862,
Heathlanes,AquiMod,03/03/1962,61.9885,
Heathlanes,AquiMod,04/03/1962,61.9909,
Heathlanes,AquiMod,05/03/1962,61.9931,
Heathlanes,AquiMod,06/03/1962,61.9953,
Heathlanes,AquiMod,07/03/1962,61.9973,
