Borehole,Model,Date,Sim,Obs
Little Bucket Farm,AquiMod,01/01/1962,68.3614,
Little Bucket Farm,AquiMod,02/01/1962,68.5148,
Little Bucket Farm,AquiMod,03/01/1962,68.6802,
Little Bucket Farm,AquiMod,04/01/1962,68.8711,
Little Bucket Farm,AquiMod,05/01/1962,69.0614,
Little Bucket Farm,AquiMod,06/01/1962,69.2451,
Little Bucket Farm,AquiMod,07/01/1962,69.4225,
Little Bucket Farm,AquiMod,08/01/1962,69.5935,
Little Bucket Farm,AquiMod,09/01/1962,69.7844,
Little Bucket Farm,AquiMod,10/01/1962,70.0024,
Little Bucket Farm,AquiMod,11/01/1962,70.2396,
Little Bucket Farm,AquiMod,12/01/1962,70.4686,
Little Bucket Farm,AquiMod,13/01/1962,70.6894,
Little Bucket Farm,AquiMod,14/01/1962,70.9023,
Little Bucket Farm,AquiMod,15/01/1962,71.1073,
Little Bucket Farm,AquiMod,16/01/1962,71.3045,
Little Bucket Farm,AquiMod,17/01/1962,71.5079,
Little Bucket Farm,AquiMod,18/01/1962,71.7108,
Little Bucket Farm,AquiMod,19/01/1962,71.9058,
Little Bucket Farm,AquiMod,20/01/1962,72.1042,
Little Bucket Farm,AquiMod,21/01/1962,72.3308,
Little Bucket Farm,AquiMod,22/01/1962,72.5485,
Little Bucket Farm,AquiMod,23/01/1962,72.7663,
Little Bucket Farm,AquiMod,24/01/1962,72.9791,
Little Bucket Farm,AquiMod,25/01/1962,73.1831,
Little Bucket Farm,AquiMod,26/01/1962,73.3785,
Little Bucket Farm,AquiMod,27/01/1962,73.5654,
Little Bucket Farm,AquiMod,28/01/1962,73.744,
Little Bucket Farm,AquiMod,29/01/1962,73.9145,
Little Bucket Farm,AquiMod,30/01/1962,74.0769,
Little Bucket Farm,AquiMod,31/01/1962,74.245,
Little Bucket Farm,AquiMod,01/02/1962,74.405,
Little Bucket Farm,AquiMod,02/02/1962,74.5572,
Little Bucket Farm,AquiMod,03/02/1962,74.7017,
Little Bucket Farm,AquiMod,04/02/1962,74.8386,
Little Bucket Farm,AquiMod,05/02/1962,74.9682,
Little Bucket Farm,AquiMod,06/02/1962,75.0906,
Little Bucket Farm,AquiMod,07/02/1962,75.2061,
Little Bucket Farm,AquiMod,08/02/1962,75.3147,
Little Bucket Farm,AquiMod,09/02/1962,75.4168,
Little Bucket Farm,AquiMod,10/02/1962,75.5123,
Little Bucket Farm,AquiMod,11/02/1962,75.6017,
Little Bucket Farm,AquiMod,12/02/1962,75.6963,
Little Bucket Farm,AquiMod,13/02/1962,75.7847,
Little Bucket Farm,AquiMod,14/02/1962,75.867,
Little Bucket Farm,AquiMod,15/02/1962,75.9432,
Little Bucket Farm,AquiMod,16/02/1962,76.0137,
Little Bucket Farm,AquiMod,17/02/1962,76.0786,
Little Bucket Farm,AquiMod,18/02/1962,76.138,
Little Bucket Farm,AquiMod,19/02/1962,76.1921,
Little Bucket Farm,AquiMod,20/02/1962,76.2411,
Little Bucket Farm,AquiMod,21/02/1962,76.2851,
Little Bucket Farm,AquiMod,22/02/1962,76.3242,
Little Bucket Farm,AquiMod,23/02/1962,76.3588,
Little Bucket Farm,AquiMod,24/02/1962,76.3887,
