Borehole,Model,Date,Sim,Obs
Over Compton,AquiMod,01/01/1962,57.0889,
Over Compton,AquiMod,02/01/1962,57.1179,
Over Compton,AquiMod,03/01/1962,57.1398,
Over Compton,AquiMod,04/01/1962,57.1558,
Over Compton,AquiMod,05/01/1962,57.1666,
Over Compton,AquiMod,06/01/1962,57.1732,
Over Compton,AquiMod,07/01/1962,57.1762,
Over Compton,AquiMod,08/01/1962,57.1801,
Over Compton,AquiMod,09/01/1962,57.2181,
Over Compton,AquiMod,10/01/1962,57.2918,
Over Compton,AquiMod,11/01/1962,57.3944,
Over Compton,AquiMod,12/01/1962,57.4814,
Over Compton,AquiMod,13/01/1962,57.5511,
Over Compton,AquiMod,14/01/1962,57.6064,
Over Compton,AquiMod,15/01/1962,57.6647,
Over Compton,AquiMod,16/01/1962,57.7158,
Over Compton,AquiMod,17/01/1962,57.7571,
Over Compton,AquiMod,18/01/1962,57.7987,
Over Compton,AquiMod,19/01/1962,57.8318,
Over Compton,AquiMod,20/01/1962,57.866,
Over Compton,AquiMod,21/01/1962,57.9243,
Over Compton,AquiMod,22/01/1962,57.9734,
Over Compton,AquiMod,23/01/1962,58.0187,
Over Compton,AquiMod,24/01/1962,58.0571,
Over Compton,AquiMod,25/01/1962,58.087,
Over Compton,AquiMod,26/01/1962,58.1098,
Over Compton,AquiMod,27/01/1962,58.1353,
Over Compton,AquiMod,28/01/1962,58.1542,
Over Compton,AquiMod,29/01/1962,58.1676,
Over Compton,AquiMod,30/01/1962,58.1807,
Over Compton,AquiMod,31/01/1962,58.191,
Over Compton,AquiMod,01/02/1962,58.1972,
Over Compton,AquiMod,02/02/1962,58.1997,
Over Compton,AquiMod,03/02/1962,58.1992,
Over Compton,AquiMod,04/02/1962,58.1961,
Over Compton,AquiMod,05/02/1962,58.1909,
Over Compton,AquiMod,06/02/1962,58.184,
Over Compton,AquiMod,07/02/1962,58.178,
Over Compton,AquiMod,08/02/1962,58.1704,
Over Compton,AquiMod,09/02/1962,58.1614,
Over Compton,AquiMod,10/02/1962,58.1512,
Over Compton,AquiMod,11/02/1962,58.14,
Over Compton,AquiMod,12/02/1962,58.1279,
Over Compton,AquiMod,13/02/1962,58.1152,
Over Compton,AquiMod,14/02/1962,58.1021,
Over Compton,AquiMod,15/02/1962,58.0886,
Over Compton,AquiMod,16/02/1962,58.0747,
Over Compton,AquiMod,17/02/1962,58.0605,
Over Compton,AquiMod,18/02/1962,58.0462,
Over Compton,AquiMod,19/02/1962,58.0318,
Over Compton,AquiMod,20/02/1962,58.0173,
Over Compton,AquiMod,21/02/1962,58.0027,
Over Compton,AquiMod,22/02/1962,57.988,
Over Compton,AquiMod,23/02/1962,57.9733,
Over Compton,AquiMod,24/02/1962,57.9586,
Over Compton,AquiMod,25/02/1962,57.944,
Over Compton,AquiMod,26/02/1962,57.9295,
Over Compton,AquiMod,27/02/1962,57.9151,
Over Compton,AquiMod,28/02/1962,57.9007,
Over Compton,AquiMod,01/03/1962,57.8864,
Over Compton,AquiMod,02/03/1962,57.8722,
Over Compton,AquiMod,03/03/1962,57.8581,
Over Compton,AquiMod,04/03/1962,57.8441,
Over Compton,AquiMod,05/03/1962,57.8302,
Over Compton,AquiMod,06/03/1962,57.8163,
Over Compton,AquiMod,07/03/1962,57.8026,
Over Compton,AquiMod,08/03/1962,57.789,
Over Compton,AquiMod,09/03/1962,57.7754,
Over Compton,AquiMod,10/03/1962,57.7619,
Over Compton,AquiMod,11/03/1962,57.7485,
Over Compton,AquiMod,12/03/1962,57.7352,
Over Compton,AquiMod,13/03/1962,57.722,
Over Compton,AquiMod,14/03/1962,57.7088,
Over Compton,AquiMod,15/03/1962,57.6957,
Over Compton,AquiMod,16/03/1962,57.6827,
Over Compton,AquiMod,17/03/1962,57.6697,
Over Compton,AquiMod,18/03/1962,57.6568,
Over Compton,AquiMod,19/03/1962,57.644,
Over Compton,AquiMod,20/03/1962,57.6312,
Over Compton,AquiMod,21/03/1962,57.6185,
Over Compton,AquiMod,22/03/1962,57.5975,
Over Compton,AquiMod,23/03/1962,57.5749,
Over Compton,AquiMod,24/03/1962,57.5527,
Over Compton,AquiMod,25/03/1962,57.5307,
Over Compton,AquiMod,26/03/1962,57.5091,
Over Compton,AquiMod,27/03/1962,57.4878,
Over Compton,AquiMod,28/03/1962,57.4667,
Over Compton,AquiMod,29/03/1962,57.446,
Over Compton,AquiMod,30/03/1962,57.4255,
Over Compton,AquiMod,31/03/1962,57.4053,
Over Compton,AquiMod,01/04/1962,57.3854,
Over Compton,AquiMod,02/04/1962,57.3657,
Over Compton,AquiMod,03/04/1962,57.3463,
Over Compton,AquiMod,04/04/1962,57.3271,
Over Compton,AquiMod,05/04/1962,57.3082,
Over Compton,AquiMod,06/04/1962,57.2895,
Over Compton,AquiMod,07/04/1962,57.2711,
Over Compton,AquiMod,08/04/1962,57.2529,
Over Compton,AquiMod,09/04/1962,57.2349,
Over Compton,AquiMod,10/04/1962,57.2172,
Over Compton,AquiMod,11/04/1962,57.1997,
Over Compton,AquiMod,12/04/1962,57.1824,
Over Compton,AquiMod,13/04/1962,57.1653,
Over Compton,AquiMod,14/04/1962,57.1484,
Over Compton,AquiMod,15/04/1962,57.1317,
Over Compton,AquiMod,16/04/1962,57.1152,
Over Compton,AquiMod,17/04/1962,57.099,
Over Compton,AquiMod,18/04/1962,57.0829,
Over Compton,AquiMod,19/04/1962,57.067,
Over Compton,AquiMod,20/04/1962,57.0513,
Over Compton,AquiMod,21/04/1962,57.0357,
Over Compton,AquiMod,22/04/1962,57.0204,
Over Compton,AquiMod,23/04/1962,57.0052,
Over Compton,AquiMod,24/04/1962,56.9902,
Over Compton,AquiMod,25/04/1962,56.9754,
Over Compton,AquiMod,26/04/1962,56.9608,
Over Compton,AquiMod,27/04/1962,56.9463,
Over Compton,AquiMod,28/04/1962,56.932,
Over Compton,AquiMod,29/04/1962,56.9178,
Over Compton,AquiMod,30/04/1962,56.9038,
Over Compton,AquiMod,01/05/1962,56.8899,
Over Compton,AquiMod,02/05/1962,56.8762,
Over Compton,AquiMod,03/05/1962,56.8627,
Over Compton,AquiMod,04/05/1962,56.8493,
Over Compton,AquiMod,05/05/1962,56.836,
Over Compton,AquiMod,06/05/1962,56.8229,
Over Compton,AquiMod,07/05/1962,56.81,
Over Compton,AquiMod,08/05/1962,56.7971,
Over Compton,AquiMod,09/05/1962,56.7844,
Over Compton,AquiMod,10/05/1962,56.7719,
Over Compton,AquiMod,11/05/1962,56.7594,
Over Compton,AquiMod,12/05/1962,56.7471,
Over Compton,AquiMod,13/05/1962,56.7349,
Over Compton,AquiMod,14/05/1962,56.7229,
Over Compton,AquiMod,15/05/1962,56.711,
Over Compton,AquiMod,16/05/1962,56.6992,
Over Compton,AquiMod,17/05/1962,56.6875,
Over Compton,AquiMod,18/05/1962,56.6759,
Over Compton,AquiMod,19/05/1962,56.6645,
Over Compton,AquiMod,20/05/1962,56.6531,
Over Compton,AquiMod,21/05/1962,56.6419,
Over Compton,AquiMod,22/05/1962,56.6308,
Over Compton,AquiMod,23/05/1962,56.6198,
Over Compton,AquiMod,24/05/1962,56.6089,
Over Compton,AquiMod,25/05/1962,56.5981,
