Borehole,Model,Date,Sim,Obs
Tilshead,AquiMod,01/01/1962,86.6041,
Tilshead,AquiMod,02/01/1962,86.6233,
Tilshead,AquiMod,03/01/1962,86.6378,
Tilshead,AquiMod,04/01/1962,86.667,
Tilshead,AquiMod,05/01/1962,86.7492,
Tilshead,AquiMod,06/01/1962,86.8315,
Tilshead,AquiMod,07/01/1962,86.9054,
Tilshead,AquiMod,08/01/1962,87.0021,
Tilshead,AquiMod,09/01/1962,87.1677,
Tilshead,AquiMod,10/01/1962,87.4333,
Tilshead,AquiMod,11/01/1962,87.7781,
Tilshead,AquiMod,12/01/1962,88.1093,
Tilshead,AquiMod,13/01/1962,88.4172,
Tilshead,AquiMod,14/01/1962,88.7026,
Tilshead,AquiMod,15/01/1962,89.0274,
Tilshead,AquiMod,16/01/1962,89.3519,
Tilshead,AquiMod,17/01/1962,89.6576,
Tilshead,AquiMod,18/01/1962,89.9864,
Tilshead,AquiMod,19/01/1962,90.2891,
Tilshead,AquiMod,20/01/1962,90.6122,
Tilshead,AquiMod,21/01/1962,91.0601,
Tilshead,AquiMod,22/01/1962,91.4763,
Tilshead,AquiMod,23/01/1962,91.8984,
Tilshead,AquiMod,24/01/1962,92.3104,
Tilshead,AquiMod,25/01/1962,92.6862,
Tilshead,AquiMod,26/01/1962,93.0464,
Tilshead,AquiMod,27/01/1962,93.3978,
Tilshead,AquiMod,28/01/1962,93.7149,
Tilshead,AquiMod,29/01/1962,93.9994,
Tilshead,AquiMod,30/01/1962,94.253,
Tilshead,AquiMod,31/01/1962,94.5272,
Tilshead,AquiMod,01/02/1962,94.7724,
Tilshead,AquiMod,02/02/1962,94.9881,
Tilshead,AquiMod,03/02/1962,95.1801,
Tilshead,AquiMod,04/02/1962,95.3639,
Tilshead,AquiMod,05/02/1962,95.5235,
Tilshead,AquiMod,06/02/1962,95.6765,
Tilshead,AquiMod,07/02/1962,95.8088,
Tilshead,AquiMod,08/02/1962,95.9175,
Tilshead,AquiMod,09/02/1962,96.004,
Tilshead,AquiMod,10/02/1962,96.0696,
Tilshead,AquiMod,11/02/1962,96.116,
Tilshead,AquiMod,12/02/1962,96.1448,
Tilshead,AquiMod,13/02/1962,96.1576,
Tilshead,AquiMod,14/02/1962,96.1558,
Tilshead,AquiMod,15/02/1962,96.1409,
Tilshead,AquiMod,16/02/1962,96.1141,
Tilshead,AquiMod,17/02/1962,96.0767,
Tilshead,AquiMod,18/02/1962,96.0296,
Tilshead,AquiMod,19/02/1962,95.9739,
Tilshead,AquiMod,20/02/1962,95.9102,
Tilshead,AquiMod,21/02/1962,95.8394,
Tilshead,AquiMod,22/02/1962,95.7619,
Tilshead,AquiMod,23/02/1962,95.6782,
Tilshead,AquiMod,24/02/1962,95.5889,
Tilshead,AquiMod,25/02/1962,95.4941,
Tilshead,AquiMod,26/02/1962,95.3941,
Tilshead,AquiMod,27/02/1962,95.2891,
Tilshead,AquiMod,28/02/1962,95.1792,
